,Asset Name,Asset Type,Asset Address,Asset Size SQF,Asset Date Built,2023 FCI Rating
449,VALENS PARK - PAVILION,Park Facilities - Public Use,1818 VALENS ROAD,1230,1955-01-01,0
450,Valley Community Park - Pavilion,Park Facilities - Public Use,287 Old Guelph Rd.,500,2020-12-15,0
451,Valley Park - Pavilion,Park Facilities - Public Use,970 Paramount Dr.,1644,1986-01-02,0
452,Valley Park - Tennis Club House,Park Facilities - Public Use,970 Paramount Dr.,1741,1986-01-02,0
453,Valley Park - Washroom / Changeroom,Park Facilities - Public Use,970 Paramount Dr.,1075,1986-01-02,0.1418813763777367
454,VALLEY PARK AQUATIC CENTRE (P),Indoor Pools,970 PARAMOUNT DRIVE,22752,1990-01-02,0.022779018064565563
455,VALLEY PARK ARENA,Arenas,970 PARAMOUNT DRIVE,35587,1985-01-02,0.09798251599450551
456,VALLEY PARK COMMUNITY CENTRE,Community Centres,970 PARAMOUNT DRIVE,12609,1985-01-02,0.389833046981644
457,VALLEY PARK LIBRARY,Libraries,970 PARAMOUNT DRIVE,2976,1985-01-02,0.28003392847193614
458,Veevers Park - Sunshelter With Storage Bldg,Park Facilities - Public Use,688 Greenhill Ave.,671,2002-01-02,0
459,Veterans Park - Storage / Concession,Park Facilities - Public Use,105 Huntingwood Ave,1205,1985-01-02,0.052892409966023644
460,VICTORIA OUTDOOR POOL,Outdoor Pools,100 STRATHCONA AVENUE NORTH,7470,1978-01-02,0.16803419197295624
461,Victoria Park - Washroom / Concession At South End Of Park,Park Facilities - Public Use,500 King St. W.,1982,1984-01-02,0.08833587865086336
462,VILLAGE GREEN PARK - LAWN BOWLING CLUB HOUSE,Park Facilities - Public Use,291 LODOR STREET,1243,1968-01-02,0
463,Village Green Park - Small Storage Structure East Of Club House,Park Facilities - Maintenance & Storage,291 Lodor St.,118,2002-01-02,0.09207425208228877
464,VILLAGE GREEN PARK - TENNIS CLUB HOUSE,Park Facilities - Public Use,291 LODOR STREET,1073,2014-01-02,0
465,WALKER OUTDOOR POOL,Outdoor Pools,60 DICENZO DRIVE,10764,2009-01-02,0.015798690319844266
466,"WATERDOWN CIVIC CENTRE (L, MSC & SC)",Libraries,163 DUNDAS STREET EAST,23500,2015-08-03,0
467,WATERDOWN MEMORIAL HALL (H),Community Centres,317 DUNDAS STREET EAST,7015,1926-01-02,0.02910273173205855
468,Waterdown Memorial Park - Picnic Pavilion,Park Facilities - Public Use,200 Hamilton St. N.,1342,1985-01-02,0
469,Waterdown Memorial Park - Storage Shed,Park Facilities - Maintenance & Storage,200 Hamilton St. N.,88,1954-01-02,0
470,Waterdown Memorial Park - Washroom / Storage / Utility For Spray Pad,Park Facilities - Public Use,200 Hamilton St. N.,1610,2014-01-02,0.015892630726718576
471,WENTWORTH LODGE,Lodges,41 SOUTH STREET WEST,111092,1965-01-02,0.010295356746899261
472,WENTWORTH STREET OPERATIONS CENTRE (F),Transit Facilities,330 WENTWORTH STREET NORTH,263488,1988-01-01,0.19815565044898076
473,WENTWORTH STREET OPERATIONS CENTRE - SALT / SAND STORAGE,Work Yards & Maintenance,330 WENTWORTH STREET NORTH,11263,2004-01-02,0.012228965326256776
474,WENTWORTH STREET SALT MANAGEMENT FACILITY,Work Yards & Maintenance,350 WENTWORTH STREET NORTH,12000,2023-09-27,0
475,WESTDALE LIBRARY,Libraries,955 KING STREET WEST,10276,1993-01-02,0.06909779536843558
476,WESTMOUNT RECREATION CENTRE (P),Indoor Pools,35 LYNBROOK DRIVE,36813,2016-01-02,0
477,William Connell Park - Field House,Park Facilities - Maintenance & Storage,1086 West 5th Street,1160,2020-11-10,0
478,William Connell Park - Storage Building,Park Facilities - Maintenance & Storage,1086 West 5th Street,1250,2018-08-18,0
479,William Connell Park - Washrooms,Park Facilities - Public Use,1086 West 5th Street,1700,2018-08-17,0
480,William McCulloch - Pavilion,Park Facilities - Public Use,200 Bonaventure Dr.,365,2011-01-02,0
481,William McCulloch Park - Change / Washroom,Park Facilities - Public Use,200 Bonaventure Dr.,372,1998-01-02,0.00892352757813909
482,WILLIAM MCCULLOUCH PARK - STORAGE,Park Facilities - Maintenance & Storage,200 BONAVENTURE DRIVE,224,1998-01-02,0.24104058838319073
483,WILLIAM SCHWENGER PARK - WASHROOMS,Park Facilities - Public Use,86 CLAUDETTE GATE,852,2017-11-20,0
485,WINONA COMMUNITY CENTRE,Community Centres,255 WINONA ROAD,33480,1960-01-02,0.05100619270009425
486,Winona Park - Picnic Pavilion In Woods Area,Park Facilities - Public Use,1328 Barton St. E.,1723,2002-01-02,0
487,Winona Park - Storage,Park Facilities - Maintenance & Storage,1328 Barton St. E.,630,1968-01-02,0
488,WINONA SCOUT HALL,Park Facilities - Public Use,1328 BARTON STREET ,2142,1973-01-02,0.059208735759542185
489,WINONA SENIORS CLUB,Senior Centres,1239 HIGHWAY 8,3911,1986-01-02,0.19361234513348063
490,WOODBURN / CENTENNIAL HALL (H),Community Centres,1062 GOLF CLUB ROAD,2520,1898-01-01,0.04279693213806273
491,WOODBURN BALL PARK (EDWARDS MEMORIAL PARK) CONCESSION,Park Facilities - Public Use,1040 GOLF CLUB ROAD,1120,1976-01-02,0.08367480425879271
492,WOODLAND CEMETERY (F),Cemeteries,700 SPRING GARDENS ROAD,6616,1985-01-02,0.3316920918848498
493,WOODLAND CEMETERY BACK SHOP,Cemeteries,700 SPRING GARDENS ROAD,600,1925-05-25,0
494,WOODLAND CEMETERY EQUIPMENT STORAGE,Cemeteries,700 SPRING GARDENS ROAD,1200,1923-04-02,0.13678769329499313
495,WOODLAND CEMETERY SOIL STORAGE,Cemeteries,700 SPRING GARDENS ROAD,600,2021-11-08,0
496,Woodlands Park - Concession / Washrooms,Park Facilities - Public Use,501 Barton St. E.,2495,1966-01-02,0.013305214385378884
497,Woodward Park - Washroom / Sun Shelter,Park Facilities - Public Use,589 Woodward Ave.,667,1999-01-02,0
498,WOOLVERTON PARK - PAVILION,Park Facilities - Public Use,90 CHARLTON AVENUE EAST,366,2014-01-02,0.0035795729848836057
